condition,consent_key.keys,consent_key.rt,done_with_instructions.keys,done_with_instructions.rt,instr_loop.thisRepN,instr_loop.thisTrialN,instr_loop.thisN,instr_loop.thisIndex,instr_loop.ran,Student ID #,date,expName,psychopyVersion,OS,frameRate,instr_learning_key.keys,instr_learning_key.rt,card_gen_loop.thisRepN,card_gen_loop.thisTrialN,card_gen_loop.thisN,card_gen_loop.thisIndex,card_gen_loop.ran,swa,eng,choose_pile.x,choose_pile.y,choose_pile.leftButton,choose_pile.midButton,choose_pile.rightButton,choose_pile.time,choose_pile.clicked_name,choices.thisRepN,choices.thisTrialN,choices.thisN,choices.thisIndex,choices.ran,card_to_show
1,return,17.283645,return,8.5991,0,0,0,0,1,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,return,7.290525,0,0,0,0,1,TAJIRI,MERCHANT,,,,,,,,,,,,,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,0,1,1,1,1,KASUKU,PARROT,,,,,,,,,,,,,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,0,2,2,2,1,FAHILI,BULL,,,,,,,,,,,,,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,0,3,3,3,1,SAHANI,PLATE,,,,,,,,,,,,,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,0,4,4,4,1,HAMIRA,YEAST,,,,,,,,,,,,,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,0,5,5,5,1,LAWAMA,BLAME,,,,,,,,,,,,,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,0,6,6,6,1,YAMINI,OATH,,,,,,,,,,,,,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,0,7,7,7,1,NAFAKA,CORN,,,,,,,,,,,,,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,0,8,8,8,1,UTENZI,POEM,,,,,,,,,,,,,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,0,9,9,9,1,MSHONI,TAILOR,,,,,,,,,,,,,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,0,10,10,10,1,JIBINI,CHEESE,,,,,,,,,,,,,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,0,11,11,11,1,ZABIBU,GRAPES,,,,,,,,,,,,,
